shipment_id,shipper_id,product_type,weight_kg,origin,destination,required_min_temp_c,required_max_temp_c,pickup_start_hour,pickup_end_hour,delivery_deadline_hr,priority,created_day
S001,MSME_A,Mango,300,Berhampur,Kolkata,8,12,6,9,24,High,2
S002,MSME_B,Leafy Vegetables,250,Bhubaneswar,Kolkata,2,8,6,9,24,High,4
S003,MSME_C,Mango,350,Gopalpur,Kolkata,8,12,6,9,24,High,3
S004,MSME_D,Dairy,200,Cuttack,Kolkata,2,8,7,10,24,High,6
S005,MSME_E,Rice,600,Bhubaneswar,Kolkata,15,30,8,12,36,Medium,3
S006,MSME_F,Banana,450,Puri,Kolkata,12,15,6,10,24,Medium,3
S007,MSME_G,Fish,350,Berhampur,Kolkata,-2,4,5,8,18,High,4
S008,MSME_H,Pharmaceuticals,180,Bhubaneswar,Kolkata,2,8,8,11,18,Critical,6
S009,MSME_10,Dairy,374,Jamshedpur,Visakhapatnam,2,8,10,13,34,Critical,2
S010,MSME_17,Packaged Food,235,Cuttack,Ranchi,15,30,9,12,32,High,7
S011,MSME_63,Tomato,698,Jamshedpur,Raipur,8,13,8,11,41,Medium,4
S012,MSME_29,Frozen Food,324,Rourkela,Raipur,-20,-15,15,19,46,High,5
S013,MSME_42,Spices,422,Visakhapatnam,Jamshedpur,15,30,3,8,30,Medium,7
S014,MSME_14,Dairy,513,Cuttack,Chennai,2,8,2,7,46,Medium,4
S015,MSME_15,Banana,708,Cuttack,Visakhapatnam,12,15,15,17,45,High,2
S016,MSME_47,Banana,648,Berhampur,Kolkata,12,15,15,18,40,High,6
S017,MSME_29,Spices,561,Sambalpur,Visakhapatnam,15,30,8,13,37,Critical,1
S018,MSME_36,Mango,625,Rourkela,Bhubaneswar,8,12,7,11,39,Critical,4
S019,MSME_42,Fish,246,Bhubaneswar,Kolkata,-2,4,12,15,29,High,7
S020,MSME_44,Mango,411,Berhampur,Ranchi,8,12,15,20,33,High,3
S021,MSME_57,Pharmaceuticals,606,Sambalpur,Bhubaneswar,2,8,5,10,35,Medium,5
S022,MSME_26,Mango,163,Rourkela,Raipur,8,12,1,6,31,High,4
S023,MSME_45,Frozen Food,154,Sambalpur,Cuttack,-20,-15,7,9,20,High,2
S024,MSME_45,Spices,567,Ranchi,Jamshedpur,15,30,17,20,24,Medium,3
S025,MSME_41,Spices,673,Ranchi,Kolkata,15,30,6,9,25,Low,4
S026,MSME_32,Rice,238,Bhubaneswar,Ranchi,15,30,2,7,46,Medium,1
S027,MSME_30,Packaged Food,166,Cuttack,Chennai,15,30,4,6,42,Medium,3
S028,MSME_16,Spices,739,Jamshedpur,Visakhapatnam,15,30,10,15,34,Critical,3
S029,MSME_65,Tomato,121,Gopalpur,Bhubaneswar,8,13,17,22,44,Medium,6
S030,MSME_59,Packaged Food,253,Rourkela,Hyderabad,15,30,13,17,30,Low,1
S031,MSME_59,Pharmaceuticals,860,Sambalpur,Raipur,2,8,8,12,22,Low,6
S032,MSME_41,Pharmaceuticals,849,Visakhapatnam,Hyderabad,2,8,1,6,35,Medium,3
S033,MSME_15,Flowers,178,Gopalpur,Visakhapatnam,2,8,4,8,20,High,5
S034,MSME_42,Dairy,266,Bhubaneswar,Kolkata,2,8,16,21,19,Medium,4
S035,MSME_47,Dairy,382,Rourkela,Visakhapatnam,2,8,13,16,45,Medium,3
S036,MSME_59,Packaged Food,820,Visakhapatnam,Kolkata,15,30,17,20,35,High,7
S037,MSME_10,Pharmaceuticals,646,Sambalpur,Ranchi,2,8,9,11,47,High,2
S038,MSME_10,Tomato,389,Jamshedpur,Bhubaneswar,8,13,5,10,30,Medium,1
S039,MSME_24,Mango,358,Gopalpur,Ranchi,8,12,14,16,31,Medium,6
S040,MSME_29,Mango,221,Visakhapatnam,Jamshedpur,8,12,11,16,22,Medium,5
S041,MSME_67,Tomato,608,Balasore,Kolkata,8,13,13,16,22,High,7
S042,MSME_37,Packaged Food,295,Berhampur,Cuttack,15,30,4,9,13,High,4
S043,MSME_40,Pharmaceuticals,693,Sambalpur,Bhubaneswar,2,8,4,8,34,Medium,1
S044,MSME_49,Fish,162,Berhampur,Raipur,-2,4,8,10,48,Low,1
S045,MSME_59,Pharmaceuticals,696,Rourkela,Hyderabad,2,8,8,11,32,High,4
S046,MSME_17,Leafy Vegetables,785,Sambalpur,Visakhapatnam,2,8,16,18,46,Low,2
S047,MSME_21,Leafy Vegetables,143,Ranchi,Cuttack,2,8,12,15,12,Medium,7
S048,MSME_37,Spices,216,Puri,Bhubaneswar,15,30,3,5,26,High,1
S049,MSME_17,Pharmaceuticals,615,Ranchi,Visakhapatnam,2,8,15,20,22,Critical,7
S050,MSME_66,Fish,414,Berhampur,Jamshedpur,-2,4,16,20,47,Medium,2
S051,MSME_55,Spices,454,Sambalpur,Ranchi,15,30,12,15,13,Medium,1
S052,MSME_49,Fish,270,Rourkela,Visakhapatnam,-2,4,14,16,24,High,2
S053,MSME_56,Packaged Food,484,Ranchi,Hyderabad,15,30,5,7,22,Medium,2
